Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1938,---,---,---,---,---,---,405.9,405.76,405.26,405.06,422.72,440.74
1939,442.04,440.32,439.8,440.38,440.3,440.5,440.54,440.54,443.88,443.66,443.2,442.81
1940,442.88,442.46,442.27,442.27,442.5,441.51,440.86,440.92,439.98,439.53,438.55,436.9
1941,437.49,437.26,436.6,436.21,434.29,439.59,439.51,438.99,438.18,437.57,437.5,437.08
1942,437.49,439.7,438.92,432.51,413.81,416.25,417.83,420.18,440.75,445.26,444.34,444.04
1943,446.54,449.42,449.74,449.6,450,449.58,449.24,449.16,448.1,447.32,446.04,445.21
1944,445.49,446.31,446.58,445.73,446.62,449.47,450.03,448.99,447.36,446.72,445.16,445.19
1945,445.35,445.38,447.54,448.26,448.47,449.34,446.34,448.43,448.12,447.31,445.66,445
1946,445.75,445.56,448.4,449.62,448.92,449.92,449.22,448.98,447.68,449.11,448.36,447.16
1947,447.3,446.35,448.3,448.7,449.83,449.75,449.6,448.5,448.27,447,446.3,446.35
1948,446,445.62,446.65,449.1,449.67,449.29,449.38,448.2,447.56,447.45,446.2,445.75
1949,444.4,445.1,446.4,448.65,449.7,449,449.23,448.2,446.77,447.4,445.83,449.2
1950,445.95,448.16,448.98,448.84,449.65,449.5,449.85,445.7,445.65,447.9,446.75,446.88
1951,447.05,447.1,446.42,449,448.35,449.5,448.5,447.9,446.15,447.2,447.1,447.65
1952,445.15,445.7,446.2,448,448.5,448.9,448,446.6,446.3,445.85,445.7,445.2
1953,445.35,446.45,447,448.8,449.4,449.5,448.4,447.2,447,447.4,446.4,446.75
1954,446.8,446.75,447.75,449,449.8,449.4,448.35,447.6,447.25,447,446.8,446.7
1955,446.75,446.9,447.5,449.35,449.8,449.1,448.75,447,447,446.7,446.65,446.4
1956,446.4,445.8,446.9,448.8,448.7,449.9,448.6,448.4,447.25,447.05,446.65,446.25
1957,446,446.45,447.9,449.6,449.45,449.05,448.5,447.7,446.84,447.25,445.6,445.77
1958,444.57,445.35,446.11,448,449.3,449.65,448.4,447.65,446.65,447,446,446.15
1959,446.2,446.25,447.25,449.3,448.95,448.1,447.4,446.3,446.7,446.85,446.55,446.55
1960,445.8,446.4,446.2,447.9,448,448.55,448.75,447.05,446.6,446.55,446.16,446.25
1961,446.05,445.5,447.3,448.1,448.6,448.6,447.55,447.7,447.4,446.5,446.55,445.85
1962,447.2,445.4,446.8,449.35,448.9,448.35,447.9,447.8,447.3,446.65,446.3,445.7
1963,445.75,444.5,446.65,448.5,448.8,448.5,446.6,447.1,445.9,446.2,446,445.4
1964,446.25,445.65,446.2,448.9,449.65,448,447.65,446.85,446.1,446.3,445.95,445.65
1965,445.9,444.6,445.5,446.3,448.9,448.35,447.95,446.8,446.3,446.6,446.1,446.6
1966,445.75,446.05,446.8,448.55,449.05,449.15,448.3,446.9,447.05,446.65,446,445.65
1967,446.2,445.4,446.4,448.8,449.2,449.5,447.4,446.8,446.8,446.15,446.1,445.95
1968,446.25,445.7,446.5,448.75,449.15,449.45,448.15,447.1,446.57,446.3,445.65,445.6
1969,445.35,446.5,446.6,448.8,449.42,449.28,448.23,447.5,447.11,446.89,446.68,445.79
1970,445.99,445.48,446.03,448.6,449.7,449.47,449.13,447.92,446.7,446.55,446.9,446
1971,446.1,446.26,446.97,448.75,449.45,449.3,448.74,447.76,447.56,446.94,446.39,445.76
1972,445.79,446.28,447.38,448.65,449.67,449.15,448.7,447.59,446.95,446.05,445.4,445.75
1973,445.8,445.55,447.07,448.81,449.36,449.18,448.68,447.58,446.89,446.45,446.47,445.95
1974,445.45,446.3,447.25,449.14,449.32,449.32,448.04,447.58,446.91,447.33,446.15,445.4
1975,445.88,446.28,446.62,448.99,449.42,448.92,448.73,447.58,447.44,446.59,446.56,446
1976,446.14,445.71,446.62,448.47,449.47,448.85,447.33,446.75,448.04,447.57,445.92,447.31
1977,446,446.42,447.35,448.76,449.49,449.1,448.28,447.27,447.26,446.88,446.51,446.17
1978,446.56,446.71,447.36,448.75,449.32,449.32,448.31,447.48,447.32,446.73,446.8,446.11
1979,445.45,445.19,445.54,445.95,447.84,447.03,446.86,446.84,447.21,446.79,446.9,446.3
1980,446.89,443.48,446.05,448.23,448.4,448.14,447.25,446.39,446.6,446.57,446.19,447.26
1981,446.54,446.35,447.5,449.33,449.52,449.61,447.83,447.48,447.44,446.47,446.88,445.66
1982,446,446.38,446.02,449.58,450.15,449.5,448.69,448.25,446.96,446.62,446.33,445.69
1983,445.44,446.55,447.34,447.56,449.5,445.87,447.48,445.32,445.93,445.81,445.37,445.18
1984,446.43,446.55,446.24,447.75,447.25,446.94,447.68,448.38,448.26,445.75,446.68,448.05
1985,446.51,446.51,447.63,447.74,449.05,447.81,447.63,447,445.87,446.63,447.25,448.31
1986,447.59,447.43,446.88,448.5,447.71,445.75,448.57,447.94,447.87,446.12,446.38,448.68
1987,446.5,446.25,446.57,447.99,449.71,449.7,448.11,447.68,447.51,447.87,445.71,447.32
1988,446.18,446.1,446.82,449.8,449.18,449.31,447.88,447.5,447.19,446.2,446.01,446.56
1989,445.95,445.68,447.14,448.73,449.23,449.18,448.36,447.68,447.12,446.6,445.9,446.12
1990,446.03,445.87,448.11,448.93,449.78,447.71,447.81,448.52,447.02,446.39,445.84,445.82
1991,446.48,446.52,449.42,448.6,449.26,449.12,448.32,447.96,446.7,446.22,446.75,446.39
1992,446.42,446.37,447.67,448.44,449.36,448.73,448.75,448.01,446.29,445.89,445.55,446.42
1993,447.48,449,447.56,448.76,449.59,449.03,448.3,448.7,447.93,446.35,445.87,446.43
1994,446.59,445.75,447.84,447.43,449.34,448.91,447.79,447.82,447.54,446.19,447.01,447.91
1995,447.4,447.46,446.22,448.89,449.2,449.64,447.54,448.92,448.43,448.85,446.97,446.62
1996,447.39,447.46,445.13,448.04,449.52,448.73,448.07,448.76,448.86,448.01,447.15,446.68
1997,447.15,448.33,446.38,448.01,449.47,448.67,448.46,447.89,447.99,446.5,447.09,448.94
1998,446.28,447.7,445.96,448.07,449.81,446.72,448.26,448.46,447.22,445.61,447.3,449.4
1999,445.5,444.81,445.91,448.16,449.05,449.22,448.36,449.27,448.23,446.74,446.55,446.2
2000,446.53,445.65,446.02,447.77,448.67,448.67,447.79,448.78,447.25,448.38,445.93,446.26
2001,446.74,448.67,448.25,448.72,447.64,448.53,447.8,448.08,447.33,447.47,446.35,446.5
2002,446.37,446.97,448.53,448.2,448.77,448.14,447,446.92,447.2,448.2,446.88,446.21
2003,445.69,447.62,445.89,448.6,448.83,448.57,448.81,448.81,447.05,447.2,446.96,444.52
2004,444.21,446.75,445.64,446.84,448.14,448.16,448.77,447.7,448.47,449.6,447.78,446.98
2005,446.86,449.7,446.45,448.3,448.31,448.07,447.74,447.44,446.63,447.46,448.12,447.97
2006,447.04,446.22,447.15,446.83,447.06,447.78,448.22,447.98,446.67,447.85,447.24,448.23
2007,447.71,445.97,447.06,447.53,448.56,448.3,448.35,448.28,447.77,447.28,447.65,446.77
2008,446.67,446.44,446.47,447.25,448.84,448.62,447.86,448.54,448.19,446.55,447.54,446.81
2009,446.67,446.08,446.75,448.75,448.71,448.49,448.11,448.19,447.16,448.03,447.61,447.34
2010,448.89,446.29,447.15,448.61,448.83,448.64,448.61,448.2,446.95,449.14,447.59,448.1
2011,446.4,447.29,448.06,448.54,448.68,447.73,448.22,448.13,448.28,447.97,447.32,445.69
2012,446.61,447.1,447.23,449.13,448.81,448.23,448.91,448.38,446.98,449.31,448.06,446.41
2013,448.01,448.13,447.58,448.35,448.76,448.45,448.51,449.22,446.96,447.91,448.37,445.37
2014,446.23,448.13,447.05,448.11,448.48,447.9,448.27,448.1,448.17,446.41,447.77,446.36
2015,448.22,447.38,447.89,448.09,448.5,448.89,447.99,448.3,448.04,447.88,447.57,446.92
2016,446.6,446.5,447.4,448.89,448.08,448.81,449.03,448.5,447.97,446.9,446.33,447.64
2017,447.29,448.3,447.83,448.73,448.31,448.41,448.63,448.28,447.17,446.27,447.86,446.81
2018,445.81,448.52,447.46,447.13,448.51,448.43,448,447.53,448.95,448.12,447.99,446.53
2019,446.58,447.53,447.86,447.29,448.62,448.47,448.12,447.22,449.03,447.77,449.1,448.16
2020,446.5,448.09,446.04,447.41,447.51,447.85,447.58,448.03,446.61,447.77,447.5,446.46
2021,447.88,447.56,447.28,448.04,448.51,448.55,448.23,447.51,448.49,448.37,447.05,447.33
2022,446.38,446.43,447.66,447.11,448.68,448.31,,,,,,
